station,hour_ahead,timestamp,predicted_pm25,lower_pm25,upper_pm25,uncertainty_bucket,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,boundary_layer_height,aqi_category
"Alipur, Delhi - DPCC",1,2026-08-26T00:00:00+00:00,35.7,14.54,59.27,0-100,27.5,96.0,2.0,280.0,979.1,0.0,80.0,Satisfactory
"Alipur, Delhi - DPCC",2,2026-08-26T01:00:00+00:00,43.45,22.29,67.02,0-100,27.5,95.0,5.0,296.0,979.2,0.0,120.0,Satisfactory
"Alipur, Delhi - DPCC",3,2026-08-26T02:00:00+00:00,43.54,22.38,67.11,0-100,27.2,95.0,7.9,167.0,980.3,0.9,190.0,Satisfactory
"Alipur, Delhi - DPCC",4,2026-08-26T03:00:00+00:00,42.57,21.41,66.14,0-100,27.1,97.0,4.2,162.0,980.3,1.0,115.0,Satisfactory
"Alipur, Delhi - DPCC",5,2026-08-26T04:00:00+00:00,43.48,22.32,67.05,0-100,28.8,91.0,3.6,147.0,980.9,0.7,305.0,Satisfactory
"Alipur, Delhi - DPCC",6,2026-08-26T05:00:00+00:00,44.65,23.49,68.22,0-100,29.5,89.0,2.4,153.0,981.2,0.5,560.0,Satisfactory
"Alipur, Delhi - DPCC",7,2026-08-26T06:00:00+00:00,44.79,23.63,68.36,0-100,30.4,84.0,2.1,200.0,980.5,0.3,610.0,Satisfactory
"Alipur, Delhi - DPCC",8,2026-08-26T07:00:00+00:00,43.62,22.46,67.19,0-100,32.0,75.0,2.8,281.0,979.8,0.2,860.0,Satisfactory
"Alipur, Delhi - DPCC",9,2026-08-26T08:00:00+00:00,41.93,20.77,65.5,0-100,32.6,72.0,1.7,302.0,979.2,0.0,1100.0,Satisfactory
"Alipur, Delhi - DPCC",10,2026-08-26T09:00:00+00:00,40.67,19.51,64.24,0-100,32.7,72.0,3.1,277.0,978.1,0.0,1095.0,Satisfactory
"Alipur, Delhi - DPCC",11,2026-08-26T10:00:00+00:00,39.19,18.03,62.76,0-100,32.5,73.0,5.7,288.0,977.5,0.0,1090.0,Satisfactory
"Alipur, Delhi - DPCC",12,2026-08-26T11:00:00+00:00,40.65,19.49,64.22,0-100,32.4,70.0,6.5,300.0,976.8,0.0,1005.0,Satisfactory
"Alipur, Delhi - DPCC",13,2026-08-26T12:00:00+00:00,43.9,22.74,67.47,0-100,29.2,91.0,1.7,32.0,977.6,0.0,85.0,Satisfactory
"Alipur, Delhi - DPCC",14,2026-08-26T13:00:00+00:00,44.73,23.57,68.3,0-100,29.3,91.0,4.8,167.0,977.4,1.9,150.0,Satisfactory
"Alipur, Delhi - DPCC",15,2026-08-26T14:00:00+00:00,43.11,21.95,66.68,0-100,28.8,93.0,8.5,173.0,977.5,0.6,145.0,Satisfactory
"Alipur, Delhi - DPCC",16,2026-08-26T15:00:00+00:00,43.32,22.16,66.89,0-100,28.4,94.0,8.5,185.0,977.7,0.0,150.0,Satisfactory
"Alipur, Delhi - DPCC",17,2026-08-26T16:00:00+00:00,44.1,22.94,67.67,0-100,28.2,93.0,8.1,198.0,978.3,0.0,155.0,Satisfactory
"Alipur, Delhi - DPCC",18,2026-08-26T17:00:00+00:00,43.46,22.3,67.03,0-100,28.0,93.0,7.7,204.0,978.7,0.0,165.0,Satisfactory
"Alipur, Delhi - DPCC",19,2026-08-26T18:00:00+00:00,45.09,23.93,68.66,0-100,29.0,92.0,7.5,215.0,978.6,0.0,165.0,Satisfactory
"Alipur, Delhi - DPCC",20,2026-08-26T19:00:00+00:00,45.31,24.15,68.88,0-100,28.4,92.0,7.9,223.0,978.1,0.0,135.0,Satisfactory
"Alipur, Delhi - DPCC",21,2026-08-26T20:00:00+00:00,46.0,24.84,69.57,0-100,28.2,92.0,9.1,232.0,977.8,0.0,170.0,Satisfactory
"Alipur, Delhi - DPCC",22,2026-08-26T21:00:00+00:00,45.25,24.09,68.82,0-100,27.9,92.0,8.0,230.0,977.5,0.0,170.0,Satisfactory
"Alipur, Delhi - DPCC",23,2026-08-26T22:00:00+00:00,42.05,20.89,65.62,0-100,27.5,93.0,4.7,220.0,977.5,0.0,130.0,Satisfactory
"Alipur, Delhi - DPCC",24,2026-08-26T23:00:00+00:00,39.8,18.64,63.37,0-100,27.4,93.0,6.4,238.0,977.3,0.0,120.0,Satisfactory
"Alipur, Delhi - DPCC",25,2026-08-27T00:00:00+00:00,40.93,19.77,64.5,0-100,28.3,92.0,4.6,252.0,977.2,0.0,90.0,Satisfactory
"Alipur, Delhi - DPCC",26,2026-08-27T01:00:00+00:00,41.32,20.16,64.89,0-100,28.2,91.0,7.6,251.0,977.7,0.0,105.0,Satisfactory
