latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
19.28973,83.57472,333.13,0.44,0.62,2026-05-29,657,N21,VIIRS,n,2.0NRT,290.5,5.96,D
18.4508,83.93738,334.66,0.43,0.62,2026-05-29,657,N21,VIIRS,n,2.0NRT,294.52,3.75,D
17.90625,82.63495,335.01,0.54,0.68,2026-05-29,657,N21,VIIRS,n,2.0NRT,292.94,4.81,D
17.60901,83.20382,331.29,0.5,0.66,2026-05-29,657,N21,VIIRS,n,2.0NRT,293.0,4.04,D
16.74949,81.92876,332.26,0.63,0.72,2026-05-29,657,N21,VIIRS,n,2.0NRT,288.75,9.43,D
18.09202,82.23085,342.34,0.57,0.69,2026-05-29,657,N21,VIIRS,n,2.0NRT,291.39,15.01,D
18.09521,82.22584,336.87,0.57,0.69,2026-05-29,657,N21,VIIRS,n,2.0NRT,291.65,14.46,D
18.75744,83.81348,345.43,0.44,0.62,2026-05-29,657,N21,VIIRS,n,2.0NRT,294.21,5.24,D
18.76904,83.84037,330.27,0.43,0.62,2026-05-29,657,N21,VIIRS,n,2.0NRT,293.91,4.53,D
18.77462,83.83907,334.77,0.43,0.62,2026-05-29,657,N21,VIIRS,n,2.0NRT,294.56,4.53,D
18.77231,83.83923,345.31,0.43,0.62,2026-05-29,657,N21,VIIRS,n,2.0NRT,294.76,8.99,D
18.89842,83.78191,331.06,0.43,0.62,2026-05-29,657,N21,VIIRS,n,2.0NRT,293.51,3.89,D
19.08185,83.63675,330.64,0.44,0.62,2026-05-29,657,N21,VIIRS,n,2.0NRT,291.12,2.81,D
18.8978,83.77901,331.39,0.43,0.62,2026-05-29,657,N21,VIIRS,n,2.0NRT,293.54,3.89,D
21.91419,83.05415,333.3,0.42,0.61,2026-05-29,659,N21,VIIRS,n,2.0NRT,295.94,2.67,D
21.92298,82.96421,330.54,0.42,0.61,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.13,3.3,D
21.92208,82.96021,336.29,0.42,0.61,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.87,3.6,D
21.92118,82.95619,334.14,0.42,0.61,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.22,3.6,D
21.91037,82.90811,342.76,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.33,4.91,D
21.91591,82.90674,331.29,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.14,3.73,D
21.63052,81.57894,335.16,0.53,0.67,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.39,3.16,D
21.62937,81.574,333.46,0.53,0.67,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.29,5.42,D
21.59347,81.39258,336.0,0.54,0.68,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.07,5.4,D
21.95362,82.91862,335.26,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.32,3.95,D
21.95648,82.90523,367.0,0.43,0.62,2026-05-29,659,N21,VIIRS,h,2.0NRT,301.74,15.5,D
21.98761,83.01951,336.23,0.42,0.61,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.12,4.15,D
21.96203,82.90389,338.67,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.95,3.61,D
21.98216,82.91579,355.06,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,302.01,8.68,D
21.97504,82.99232,331.34,0.42,0.61,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.35,1.58,D
21.95587,82.90864,341.15,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.97,6.04,D
21.95495,82.90462,339.75,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.93,6.04,D
21.98776,83.02256,346.08,0.42,0.61,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.45,5.57,D
21.96049,82.90331,348.4,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.2,6.04,D
21.98075,82.91524,350.93,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.47,7.84,D
21.98629,82.9139,349.7,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,302.52,7.84,D
21.95499,82.75075,333.59,0.44,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,302.65,3.57,D
21.95406,82.74664,336.93,0.44,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,303.08,4.57,D
21.76233,81.75636,332.57,0.51,0.66,2026-05-29,659,N21,VIIRS,n,2.0NRT,298.95,3.04,D
21.76122,81.75159,333.93,0.51,0.66,2026-05-29,659,N21,VIIRS,n,2.0NRT,298.25,3.04,D
21.76827,81.75486,334.91,0.51,0.66,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.83,3.04,D
21.76717,81.7501,334.73,0.51,0.66,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.46,3.04,D
21.81715,81.85785,367.0,0.5,0.66,2026-05-29,659,N21,VIIRS,h,2.0NRT,300.36,28.85,D
21.81607,81.85317,367.0,0.5,0.66,2026-05-29,659,N21,VIIRS,h,2.0NRT,298.4,21.63,D
21.82305,81.85638,367.0,0.5,0.66,2026-05-29,659,N21,VIIRS,h,2.0NRT,300.42,22.51,D
21.92552,82.30546,334.87,0.47,0.64,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.35,4.16,D
21.82198,81.8517,350.59,0.5,0.66,2026-05-29,659,N21,VIIRS,n,2.0NRT,297.95,14.54,D
22.06484,82.8736,332.14,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.27,2.44,D
21.95339,82.3216,333.79,0.47,0.64,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.38,4.23,D
21.85093,81.8692,335.88,0.5,0.66,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.1,1.33,D
21.82018,81.85723,367.0,0.5,0.66,2026-05-29,659,N21,VIIRS,h,2.0NRT,301.95,46.85,D
21.81907,81.85255,367.0,0.5,0.66,2026-05-29,659,N21,VIIRS,h,2.0NRT,299.47,12.95,D
21.9256,82.30502,335.94,0.47,0.64,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.34,4.03,D
21.81797,81.84789,332.26,0.5,0.66,2026-05-29,659,N21,VIIRS,n,2.0NRT,293.53,12.95,D
22.06309,82.87296,336.03,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.79,3.15,D
21.82498,81.85111,342.78,0.5,0.66,2026-05-29,659,N21,VIIRS,n,2.0NRT,296.62,12.95,D
21.95362,82.32115,333.68,0.47,0.64,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.28,3.5,D
21.85408,81.86858,332.75,0.5,0.66,2026-05-29,659,N21,VIIRS,n,2.0NRT,298.54,2.23,D
21.91893,81.96004,330.5,0.49,0.65,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.26,1.79,D
22.1287,82.85301,331.92,0.43,0.62,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.62,4.34,D
21.94015,81.99836,367.0,0.49,0.65,2026-05-29,659,N21,VIIRS,h,2.0NRT,300.6,10.54,D
21.99726,82.03243,334.64,0.48,0.65,2026-05-29,659,N21,VIIRS,n,2.0NRT,298.85,1.48,D
21.66783,80.76984,331.79,0.59,0.7,2026-05-29,659,N21,VIIRS,n,2.0NRT,298.5,6.2,D
21.99646,82.03454,335.97,0.48,0.65,2026-05-29,659,N21,VIIRS,n,2.0NRT,298.75,5.1,D
22.06428,81.95452,336.26,0.49,0.65,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.72,9.74,D
22.06322,81.94991,339.68,0.49,0.65,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.18,7.17,D
21.95236,81.46987,340.02,0.53,0.67,2026-05-29,659,N21,VIIRS,n,2.0NRT,301.0,3.57,D
22.0616,81.9511,346.65,0.49,0.65,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.46,8.59,D
21.95358,81.47098,339.33,0.53,0.67,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.77,4.89,D
22.07613,81.85487,343.74,0.49,0.65,2026-05-29,659,N21,VIIRS,n,2.0NRT,300.98,8.7,D
22.466,83.17102,330.26,0.4,0.6,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.97,1.91,D
25.06722,94.06885,332.19,0.39,0.36,2026-05-29,659,N21,VIIRS,n,2.0NRT,297.81,3.39,D
23.06649,83.04993,334.19,0.4,0.6,2026-05-29,659,N21,VIIRS,n,2.0NRT,299.37,5.25,D
24.99816,93.34607,334.47,0.39,0.36,2026-05-29,659,N21,VIIRS,n,2.0NRT,302.19,4.04,D
