latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,state
29.911,74.95192,341.22,0.39,0.44,2026-09-04,839,N,VIIRS,n,2.0NRT,299.43,5.47,D,Punjab
32.24791,73.92658,332.01,0.55,0.43,2026-09-04,839,N,VIIRS,n,2.0NRT,295.3,3.62,D,Punjab
30.60174,73.64675,335.72,0.38,0.36,2026-09-05,820,N,VIIRS,n,2.0NRT,301.07,2.55,D,Other
31.20992,73.72583,332.22,0.38,0.36,2026-09-05,820,N,VIIRS,l,2.0NRT,305.13,8.31,D,Other
31.21054,73.72984,330.49,0.38,0.36,2026-09-05,820,N,VIIRS,l,2.0NRT,300.9,5.02,D,Other
31.21322,73.72516,330.57,0.38,0.36,2026-09-05,820,N,VIIRS,l,2.0NRT,303.89,4.89,D,Other
31.23082,75.08361,335.64,0.4,0.37,2026-09-05,820,N,VIIRS,n,2.0NRT,295.18,4.59,D,Punjab
31.73204,74.48511,340.17,0.39,0.36,2026-09-05,822,N,VIIRS,n,2.0NRT,298.88,4.36,D,Punjab
29.47524,76.8587,312.67,0.39,0.36,2026-09-05,2044,N,VIIRS,n,2.0NRT,292.14,0.88,N,Haryana
31.25029,76.9273,306.11,0.4,0.37,2026-09-05,2044,N,VIIRS,n,2.0NRT,290.29,0.57,N,Punjab
32.08572,74.16138,308.97,0.5,0.41,2026-09-05,2044,N,VIIRS,n,2.0NRT,293.28,1.04,N,Punjab
32.10323,74.17525,307.41,0.5,0.41,2026-09-05,2044,N,VIIRS,n,2.0NRT,293.36,0.92,N,Punjab
28.34537,77.22824,313.79,0.55,0.43,2026-09-06,2025,N,VIIRS,n,2.0NRT,291.85,1.68,N,Haryana
29.47619,76.85919,304.71,0.4,0.44,2026-09-06,2025,N,VIIRS,n,2.0NRT,292.68,2.08,N,Haryana
29.47667,76.85507,333.33,0.4,0.44,2026-09-06,2025,N,VIIRS,n,2.0NRT,292.41,2.08,N,Haryana
30.68413,73.86338,333.71,0.62,0.54,2026-09-07,744,N,VIIRS,n,2.0NRT,295.36,5.51,D,Punjab
31.25838,74.14626,331.24,0.58,0.52,2026-09-07,744,N,VIIRS,n,2.0NRT,300.47,3.55,D,Punjab
31.3671,76.35385,311.15,0.43,0.62,2026-09-07,2006,N,VIIRS,n,2.0NRT,289.99,2.46,N,Punjab
32.30096,74.31669,305.12,0.57,0.69,2026-09-07,2006,N,VIIRS,n,2.0NRT,291.62,1.27,N,Punjab
28.34664,77.22958,305.33,0.35,0.57,2026-09-07,2008,N,VIIRS,n,2.0NRT,292.45,0.56,N,Haryana
28.37362,77.22543,312.87,0.35,0.57,2026-09-07,2008,N,VIIRS,n,2.0NRT,292.68,0.97,N,Haryana
28.66099,77.57737,306.46,0.34,0.56,2026-09-07,2008,N,VIIRS,n,2.0NRT,293.34,0.67,N,Haryana
28.85041,77.14855,306.37,0.36,0.57,2026-09-07,2008,N,VIIRS,n,2.0NRT,292.68,0.72,N,Delhi
29.90967,74.95046,307.94,0.5,0.66,2026-09-07,2008,N,VIIRS,n,2.0NRT,290.62,6.63,N,Punjab
29.91,74.94514,367.0,0.5,0.66,2026-09-07,2008,N,VIIRS,h,2.0NRT,291.13,10.9,N,Punjab
29.91032,74.93981,303.98,0.5,0.66,2026-09-07,2008,N,VIIRS,n,2.0NRT,290.29,10.9,N,Punjab
31.25737,76.92625,299.46,0.58,0.7,2026-09-07,2146,N,VIIRS,n,2.0NRT,286.48,0.91,N,Punjab
31.25916,76.92676,298.77,0.58,0.7,2026-09-07,2146,N,VIIRS,n,2.0NRT,286.22,1.48,N,Punjab
31.3673,76.35603,303.33,0.53,0.67,2026-09-07,2146,N,VIIRS,n,2.0NRT,290.59,0.89,N,Punjab
32.12922,74.17644,306.48,0.39,0.59,2026-09-07,2146,N,VIIRS,n,2.0NRT,292.96,1.06,N,Punjab
29.47196,76.86069,305.54,0.63,0.72,2026-09-07,2148,N,VIIRS,n,2.0NRT,291.29,1.33,N,Haryana
29.90457,74.95105,311.45,0.48,0.65,2026-09-07,2148,N,VIIRS,n,2.0NRT,290.39,6.0,N,Punjab
29.90722,74.95615,313.15,0.48,0.65,2026-09-07,2148,N,VIIRS,n,2.0NRT,290.66,8.76,N,Punjab
29.90849,74.95123,367.0,0.48,0.65,2026-09-07,2148,N,VIIRS,h,2.0NRT,291.65,10.15,N,Punjab
29.90907,74.95796,303.49,0.48,0.65,2026-09-07,2148,N,VIIRS,n,2.0NRT,290.52,6.0,N,Punjab
29.90977,74.9463,303.3,0.48,0.65,2026-09-07,2148,N,VIIRS,n,2.0NRT,290.0,10.15,N,Punjab
29.91037,74.95306,367.0,0.48,0.65,2026-09-07,2148,N,VIIRS,h,2.0NRT,291.9,6.0,N,Punjab
29.91168,74.94814,312.02,0.48,0.65,2026-09-07,2148,N,VIIRS,n,2.0NRT,290.76,13.68,N,Punjab
31.25821,74.14293,309.7,0.4,0.6,2026-09-07,2148,N,VIIRS,n,2.0NRT,291.84,1.21,N,Punjab
28.65772,77.57368,338.07,0.39,0.6,2026-09-08,724,N,VIIRS,n,2.0NRT,294.07,3.21,D,Haryana
29.9065,74.94508,367.0,0.52,0.67,2026-09-08,724,N,VIIRS,h,2.0NRT,295.48,13.87,D,Punjab
29.90792,74.9504,333.77,0.52,0.67,2026-09-08,724,N,VIIRS,n,2.0NRT,296.05,16.71,D,Punjab
29.90838,74.94791,367.0,0.52,0.67,2026-09-08,724,N,VIIRS,h,2.0NRT,295.73,15.56,D,Punjab
31.21099,75.96707,329.07,0.42,0.61,2026-09-08,724,N,VIIRS,n,2.0NRT,295.18,2.47,D,Punjab
28.34513,77.23094,307.2,0.38,0.58,2026-09-08,2127,N,VIIRS,n,2.0NRT,291.84,0.78,N,Haryana
28.744,76.92703,309.02,0.35,0.57,2026-09-08,2127,N,VIIRS,n,2.0NRT,291.79,0.88,N,Delhi
28.74435,76.92632,305.77,0.35,0.57,2026-09-08,2127,N,VIIRS,n,2.0NRT,291.99,1.24,N,Delhi
28.77183,77.56693,306.21,0.39,0.59,2026-09-08,2127,N,VIIRS,n,2.0NRT,290.42,0.51,N,Haryana
29.47554,76.86042,310.75,0.34,0.56,2026-09-08,2127,N,VIIRS,n,2.0NRT,292.51,0.75,N,Haryana
29.47636,76.85699,304.91,0.34,0.56,2026-09-08,2127,N,VIIRS,n,2.0NRT,291.99,0.75,N,Haryana
29.63118,77.24579,303.99,0.35,0.57,2026-09-08,2127,N,VIIRS,n,2.0NRT,291.79,0.58,N,Haryana
27.66834,76.12954,304.87,0.34,0.56,2026-09-08,2129,N,VIIRS,n,2.0NRT,293.68,0.87,N,Haryana
30.46224,73.80231,335.0,0.42,0.45,2026-09-09,845,N,VIIRS,n,2.0NRT,302.14,3.04,D,Punjab
31.11923,74.6719,346.95,0.48,0.48,2026-09-09,845,N,VIIRS,n,2.0NRT,300.42,10.59,D,Punjab
31.12366,74.67133,345.68,0.48,0.48,2026-09-09,845,N,VIIRS,n,2.0NRT,298.08,6.33,D,Punjab
31.12966,74.65249,332.7,0.48,0.48,2026-09-09,845,N,VIIRS,n,2.0NRT,297.49,2.66,D,Punjab
31.39262,73.96021,340.26,0.44,0.46,2026-09-09,845,N,VIIRS,n,2.0NRT,298.55,4.82,D,Punjab
27.28872,73.83931,310.71,0.43,0.38,2026-09-09,2110,N,VIIRS,n,2.0NRT,298.15,1.61,N,Other
27.66891,76.13161,308.25,0.54,0.42,2026-09-09,2110,N,VIIRS,n,2.0NRT,296.75,2.32,N,Haryana
28.275,77.1826,309.13,0.4,0.44,2026-09-09,2110,N,VIIRS,n,2.0NRT,294.05,0.78,N,Haryana
28.27803,77.27264,308.04,0.4,0.44,2026-09-09,2110,N,VIIRS,n,2.0NRT,293.79,1.08,N,Haryana
