station_name,timestamp,pm25_value
GK1 (Oberoi Terrace),2026-08-10T08:00:00Z,6.2
"Sector-1, Noida - UPPCB",2026-08-26T04:15:00Z,52.0
"Amity University, Panchgaon - IITM",2026-08-26T11:30:00Z,26.6
"Chandni Chowk, Delhi - IITM",2026-08-27T01:15:00Z,52.7
"CRRI Mathura Road, New Delhi - IMD",2026-08-27T02:00:00Z,44.34
"Burari Crossing, New Delhi - IMD",2026-08-27T02:00:00Z,46.43
"Aya Nagar, New Delhi - IMD",2026-08-27T02:00:00Z,29.68
"IGI Airport (T3), Delhi - IMD",2026-08-27T02:00:00Z,36.81
"Anand Vihar, New Delhi - DPCC",2026-08-27T02:00:00Z,78.0
"Lodhi Road, New Delhi - IMD",2026-08-27T02:00:00Z,32.8
"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",2026-08-27T02:15:00Z,27.0
"Loni, Ghaziabad - UPPCB",2026-08-27T02:15:00Z,39.0
"NISE Gwal Pahari, Gurugram - IMD",2026-08-27T02:15:00Z,37.63
"Arya Nagar, Bahadurgarh - HSPCB",2026-08-27T02:15:00Z,41.2
"Sector-2 IMT, Manesar - HSPCB",2026-08-27T02:15:00Z,55.4
"Knowledge Park - V, Greater Noida - UPPCB",2026-08-27T02:15:00Z,52.0
"Sector - 62, Noida, UP - IMD",2026-08-27T02:15:00Z,58.04
"ITO, New Delhi - CPCB",2026-08-27T02:15:00Z,34.0
"Knowledge Park - III, Greater Noida - UPPCB",2026-08-27T02:15:00Z,35.0
"IHBAS, Dilshad Garden,New Delhi - CPCB",2026-08-27T02:15:00Z,42.3
"Sector 30, Faridabad - HSPCB",2026-08-27T02:15:00Z,46.87
"Indirapuram, Ghaziabad - UPPCB",2026-08-27T02:15:00Z,54.0
"Nathu Colony, Ballabgarh - HSPCB",2026-08-27T02:15:00Z,23.18
"Pusa, Delhi - IMD",2026-08-27T02:15:00Z,11.5
"North Campus, DU, Delhi - IMD",2026-08-27T02:15:00Z,52.6
