timestamp,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,boundary_layer_height
2026-09-11 00:00:00,26.2,91,2.7,148,983.4,0.0,60.0
2026-09-11 01:00:00,26.4,91,3.5,111,983.9,0.0,75.0
2026-09-11 02:00:00,27.3,90,3.6,87,984.9,0.0,145.0
2026-09-11 03:00:00,28.6,86,6.1,85,985.5,0.0,380.0
2026-09-11 04:00:00,29.6,79,7.0,93,985.8,0.1,575.0
2026-09-11 05:00:00,30.7,73,6.3,88,985.8,0.1,840.0
2026-09-11 06:00:00,26.7,89,13.9,73,986.6,5.5,405.0
2026-09-11 07:00:00,27.5,87,8.4,105,986.0,1.6,430.0
2026-09-11 08:00:00,29.4,80,6.0,107,984.7,0.8,635.0
2026-09-11 09:00:00,30.0,76,5.5,122,983.3,0.4,695.0
2026-09-11 10:00:00,30.4,72,5.0,105,981.9,0.1,725.0
2026-09-11 11:00:00,29.8,74,8.9,83,982.2,0.3,680.0
2026-09-11 12:00:00,27.9,84,9.7,91,982.6,0.2,400.0
2026-09-11 13:00:00,27.0,90,10.3,88,983.1,0.1,395.0
2026-09-11 14:00:00,26.6,93,5.4,86,983.1,0.1,290.0
2026-09-11 15:00:00,26.5,93,8.0,85,983.9,0.0,380.0
2026-09-11 16:00:00,26.3,93,7.7,93,984.7,0.0,425.0
2026-09-11 17:00:00,26.1,93,7.0,102,985.0,0.0,350.0
2026-09-11 18:00:00,25.9,94,6.4,106,985.1,0.0,330.0
2026-09-11 19:00:00,25.8,95,6.1,102,985.2,0.0,330.0
2026-09-11 20:00:00,25.7,96,5.8,99,984.8,0.0,315.0
2026-09-11 21:00:00,25.6,95,5.4,86,984.2,0.0,275.0
2026-09-11 22:00:00,25.6,95,5.7,79,983.8,0.0,285.0
2026-09-11 23:00:00,25.6,94,6.4,82,984.0,0.0,315.0
2026-09-12 00:00:00,25.6,93,6.4,74,984.6,0.0,305.0
2026-09-12 01:00:00,25.7,93,6.2,78,984.9,0.0,295.0
2026-09-12 02:00:00,26.4,90,7.0,91,985.6,0.0,410.0
2026-09-12 03:00:00,27.7,85,9.0,105,986.1,0.0,575.0
2026-09-12 04:00:00,28.4,81,10.4,116,986.4,0.0,600.0
2026-09-12 05:00:00,29.9,73,10.6,120,986.5,0.1,720.0
2026-09-12 06:00:00,30.4,73,9.9,119,986.2,0.1,800.0
2026-09-12 07:00:00,31.4,71,7.6,104,985.5,0.1,1185.0
2026-09-12 08:00:00,31.6,72,6.7,95,984.4,0.2,1250.0
2026-09-12 09:00:00,31.8,72,5.0,77,982.8,0.1,1305.0
2026-09-12 10:00:00,27.1,87,13.9,65,983.0,3.9,540.0
2026-09-12 11:00:00,25.9,92,10.1,79,982.8,4.0,370.0
2026-09-12 12:00:00,25.4,95,6.5,82,983.1,1.7,240.0
2026-09-12 13:00:00,25.6,97,5.5,36,983.5,1.8,215.0
2026-09-12 14:00:00,25.9,97,3.6,6,984.0,0.1,230.0
2026-09-12 15:00:00,26.1,97,2.0,85,984.7,0.0,200.0
2026-09-12 16:00:00,26.3,97,7.4,91,985.3,0.0,320.0
2026-09-12 17:00:00,26.2,96,8.3,96,985.4,0.0,340.0
2026-09-12 18:00:00,26.0,96,8.2,99,985.5,0.0,340.0
2026-09-12 19:00:00,25.8,96,9.5,99,985.2,0.0,375.0
2026-09-12 20:00:00,25.7,96,8.8,92,984.5,0.0,355.0
2026-09-12 21:00:00,25.8,95,9.0,84,984.2,0.0,385.0
2026-09-12 22:00:00,25.8,95,8.8,89,984.2,0.0,395.0
2026-09-12 23:00:00,25.7,95,8.3,84,984.2,0.0,380.0
2026-09-13 00:00:00,25.6,95,7.6,72,984.6,0.0,345.0
2026-09-13 01:00:00,25.6,95,7.6,75,985.3,0.0,355.0
2026-09-13 02:00:00,26.6,91,8.6,82,986.2,0.0,450.0
2026-09-13 03:00:00,27.6,86,10.3,89,986.9,0.0,545.0
2026-09-13 04:00:00,28.7,80,9.2,88,987.2,0.0,695.0
2026-09-13 05:00:00,29.3,80,8.5,83,987.1,0.0,800.0
2026-09-13 06:00:00,30.0,77,8.4,75,986.8,0.0,900.0
2026-09-13 07:00:00,30.6,74,8.5,88,985.9,0.1,1075.0
2026-09-13 08:00:00,31.2,72,7.9,86,984.7,0.1,1150.0
2026-09-13 09:00:00,31.4,72,7.2,71,983.3,0.0,1170.0
2026-09-13 10:00:00,31.0,76,7.5,69,982.3,0.4,1040.0
2026-09-13 11:00:00,27.2,92,8.7,52,982.5,4.0,250.0
2026-09-13 12:00:00,28.0,91,5.7,53,982.8,0.5,460.0
2026-09-13 13:00:00,27.6,90,7.8,77,983.3,0.3,360.0
2026-09-13 14:00:00,27.2,90,7.1,66,983.9,0.0,350.0
2026-09-13 15:00:00,27.0,91,7.1,74,984.8,0.0,355.0
2026-09-13 16:00:00,26.9,92,7.2,93,985.5,0.0,420.0
2026-09-13 17:00:00,26.8,93,8.6,98,985.8,0.0,460.0
2026-09-13 18:00:00,26.5,95,7.9,93,985.6,0.0,430.0
2026-09-13 19:00:00,26.4,95,8.3,104,985.7,0.0,445.0
2026-09-13 20:00:00,25.9,96,9.6,96,985.3,0.0,420.0
2026-09-13 21:00:00,25.9,95,8.3,95,984.7,0.0,430.0
2026-09-13 22:00:00,25.9,95,8.1,90,984.1,0.0,400.0
2026-09-13 23:00:00,25.7,96,8.9,82,984.3,0.0,415.0
